# Simuation_for_state_estimation (Up to date)
# 1072 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (43.8 m/s)
#
# Time (s),Vertical acceleration (m/s²),Lateral acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
16.478,-7.593,0.061
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=16.479 seconds
16.481,-7.604,0.117
16.482,189.786,39.197
16.483,188.048,38.829
16.484,186.333,38.466
16.485,184.642,38.107
16.486,182.972,37.754
16.487,181.325,37.405
16.488,179.7,37.061
16.489,178.096,36.721
16.49,176.513,36.386
16.491,174.951,36.055
16.492,173.409,35.728
16.493,171.887,35.406
16.494,170.385,35.087
16.495,168.902,34.773
16.496,167.438,34.463
16.497,165.992,34.157
16.498,164.565,33.854
16.499,163.156,33.556
16.5,161.764,33.261
16.501,160.39,32.97
16.502,159.037,32.704
16.503,157.705,32.463
16.504,156.389,32.225
16.505,155.089,31.991
16.506,153.805,31.759
16.507,152.536,31.529
16.508,151.283,31.303
16.509,150.045,31.079
16.51,148.822,30.858
16.511,147.613,30.64
16.512,146.419,30.424
16.513,145.239,30.211
16.514,144.073,30
16.515,142.921,29.792
16.516,141.782,29.586
16.517,140.657,29.383
16.518,139.544,29.182
16.519,138.445,28.984
16.52,137.358,28.787
16.521,136.283,28.593
16.522,135.221,28.401
16.523,134.171,28.212
16.524,133.133,28.024
16.525,132.107,27.839
16.526,131.093,27.656
16.527,130.089,27.475
16.528,129.097,27.295
16.529,128.116,27.118
16.53,127.143,26.942
16.531,126.17,26.767
16.532,125.197,26.591
16.533,124.224,26.415
16.534,123.251,26.24
16.535,122.278,26.064
16.536,121.306,25.888
16.537,120.333,25.713
16.538,119.361,25.537
16.539,118.388,25.362
16.54,117.416,25.186
16.541,116.443,25.011
16.543,115.471,24.835
16.544,114.499,24.66
16.545,113.527,24.484
16.546,112.555,24.309
16.547,111.584,24.133
16.549,110.612,23.958
16.55,109.64,23.783
16.551,108.669,23.607
16.553,107.692,23.405
16.554,106.726,23.204
16.555,105.76,23.003
16.556,104.793,22.802
16.558,103.827,22.601
16.559,102.861,22.4
16.561,101.896,22.199
16.562,100.93,21.998
16.563,99.964,21.798
16.565,98.999,21.597
16.566,98.034,21.396
16.568,97.069,21.195
16.569,96.104,20.994
16.571,95.139,20.794
16.572,94.174,20.593
16.574,93.209,20.392
16.576,92.245,20.192
16.577,91.28,19.991
16.579,90.316,19.79
16.58,89.352,19.59
16.582,88.388,19.389
16.584,87.424,19.189
16.586,86.461,18.988
16.587,85.497,18.788
16.589,84.534,18.587
16.591,83.571,18.387
16.593,82.608,18.186
16.595,81.646,17.986
16.597,80.683,17.786
16.599,79.721,17.585
16.601,78.758,17.385
16.603,77.805,17.234
16.605,76.85,17.16
